Genre Group,Count
Short/Western,4
Crime/History,3
Animation/Horror/Sci-Fi,3
Musical/Mystery/Thriller,3
Drama/Reality-TV/Romance,3
Action/Comedy/Reality-TV,3
Action/Romance/Sci-Fi,3
Adventure/Comedy/Game-Show,3
Documentary/Fantasy/History,3
Fantasy/War,3
Adult/Animation/Drama,3
Animation/Mystery/Thriller,3
Drama/Sci-Fi/War,3
Adventure/Mystery/Romance,3
Reality/Documentary,3
Animation/Mystery/Sci-Fi,3
Biography/Documentary/Musical,3
Animation/Family/Romance,3
Family/Music/Short,3
Documentary/Family/Reality-TV,3
Family/Music/Romance,3
Drama/Action,3
Action/Documentary/Sport,3
Adventure/Animation/Biography,3
News/Talk-Show,3
Family/Thriller,3
Biography/Music/Romance,3
Documentary/Family/Sport,3
Drama/Fantasy/Sport,3
Animation/Music/Sport,3
Adventure/Biography/Crime,3
Adventure/Animation/Music,3
Biography/Crime/History,3
Animation/Romance,3
Horror/Mystery/Short,3
Musical/Romance/Western,3
Horror/Music,3
Musical/Romance/Thriller,3
Mystery/Romance/Sci-Fi,3
Comedy/Fantasy/History,3
Romance/War,3
Adventure/Comedy/Western,3
Crime/Family,3
Comedy/Crime/Documentary,3
History/Thriller,3
Biography/Documentary/Romance,3
Documentary/Drama/Western,3
Comedy/Documentary/Horror,3
Family/Fantasy/Horror,3
Comedy/Crime/Sci-Fi,3
Animation/Romance/Short,3
Animation/Drama/War,3
Comedy/Romance/Short,3
Adventure/Comedy/Reality-TV,3
Adventure/Fantasy/History,3
Drama/History/Short,3
Crime/Fantasy/Mystery,3
Crime/Sci-Fi,3
Adventure/Romance/Western,3
Animation/Comedy/History,3
Biography/Comedy/Romance,3
Animation/Biography/Comedy,3
Mystery/Short,3
Animation/Documentary/Drama,3
Action/Reality-TV,3
Comedy/Family/History,3
Horror/War,3
Family/Music/Reality-TV,3
Comedy/Reality-TV/Romance,3
Action/Crime/Sport,3
Adventure/Family/Musical,3
Drama/Family/Horror,3
Comedy/Music/Talk-Show,3
Comedy/Music/Mystery,3
Comedy/Crime/Sport,3
Adventure/Crime/Thriller,3
Game-Show/Reality-TV/Sport,3
Biography/Thriller,3
Crime/Music/Mystery,3
Comedy/News,3
Biography/Family/Sport,2
History/Horror/Thriller,2
Adventure/Family/History,2
Family/Reality,2
Animation/Crime/Horror,2
Adventure/Drama/Short,2
Crime/Family/Romance,2
Adventure/Comedy/Sport,2
Crime/Musical,2
Drama/Fantasy/Western,2
Animation/Mystery/Short,2
Documentary/Fantasy/Mystery,2
Animation/Documentary/Music,2
Comedy/Documentary/News,2
Biography/Short,2
Comedy/Short/Thriller,2
Comedy/Fantasy/Short,2
Comedy/Musical/Short,2
Comedy/Family/War,2
Comedy/Family/Thriller,2
Drama/Musical/Thriller,2
History/Reality-TV,2
Family/Reality-TV/Talk-Show,2
Crime/Short,2
Reality-TV/Talk-Show,2
Documentary/Thriller,2
Action/Family/Mystery,2
Biography/Documentary/Sci-Fi,2
Action/History/Romance,2
Comedy/Music/War,2
Documentary/Horror/Sci-Fi,2
History/Mystery/Thriller,2
TV Movie,2
Action/Animation/War,2
Documentary/Horror/Reality-TV,2
Animation/Crime/Documentary,2
Short/War,2
Adventure/Family/Game-Show,2
Reality-TV/Western,2
Adventure/Documentary/Romance,2
Romance/Drama/Family,2
Thriller/Crime,2
Family/Drama/Romance,2
Action/Adventure/Game-Show,2
Biography/Documentary/Thriller,2
Documentary/Music/News,2
Animation/Fantasy/Short,2
Adventure/Music,2
